Chave= dinovo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= sentir; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= kra; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= habitos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= expresso; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= boa; Valor= 0; Escore Total= 6.0; Número de vezes em que aparece= 15
Chave= aew; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= net; Valor= 1; Escore Total= 3.0; Número de vezes em que aparece= 3
Chave= sensacional; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= franga; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= queria; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= tentando; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 5
Chave= centenariopromocao; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fosco; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= objetivo; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= horas; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 4
Chave= papis; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= gui; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= concorro; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= vlogs; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= depoimento; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cameras; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= emprestar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= empolgadasso; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= gentee; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= followers; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= upando; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= bom; Valor= 0; Escore Total= 32.0; Número de vezes em que aparece= 37
Chave= idioma; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= choveu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= oportunidade; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= aff; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 4
Chave= fernandao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= feitas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= aposta; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= depois; Valor= 0; Escore Total= 4.0; Número de vezes em que aparece= 11
Chave= preciso; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= passando; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= exames; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ooo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tuiteumfilmecomdevassa; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= minha; Valor= 0; Escore Total= 5.0; Número de vezes em que aparece= 30
Chave= concorra; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 17
Chave= cupons; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= meia; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= lool; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= wii; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 18
Chave= ainda; Valor= 0; Escore Total= -6.0; Número de vezes em que aparece= 13
Chave= relaxar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= sparkster; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= chaaaato; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= eras; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= flu; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= boy; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= projeto; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= atacando; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sites; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= flw; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= muuuuuuuuuuuuita; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= adidas; Valor= 0; Escore Total= 11.0; Número de vezes em que aparece= 29
Chave= carae; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= prova; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 4
Chave= junho; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= beleza; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= confirma; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= xuxinha; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= figueirense; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= precisa; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= cosmo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= mentirosa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= comecou; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= memos; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= meio; Valor= 1; Escore Total= 4.0; Número de vezes em que aparece= 5
Chave= poderia; Valor= 0; Escore Total= -3.0; Número de vezes em que aparece= 5
Chave= fessora; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= propagandarsrs; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= olimpiada; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= surfar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= torcer; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= foto; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= reebok; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= convidado; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= clientes; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= guardado; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vita; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= just; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= asking; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= competicoes; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ganso; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= barra; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= rabo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= caras; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= detalhe; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= visitas; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= registado; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= usarmos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= maquina; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= maaas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= check; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fiel; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tarde; Valor= 0; Escore Total= 3.0; Número de vezes em que aparece= 7
Chave= momentoretardada; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= indico; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= amigao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= treino; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= primeiras; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= rola; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= mami; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= exaltasamba; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= times; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= premiosparavoce; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ngm; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= hahahah; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= explorer; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= agr; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= role; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= thiago; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= corinthianaa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= podres; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= vai; Valor= 0; Escore Total= -6.0; Número de vezes em que aparece= 21
Chave= sorrir; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= fala; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 3
Chave= assistir; Valor= 1; Escore Total= 4.0; Número de vezes em que aparece= 6
Chave= sexta; Valor= 1; Escore Total= 5.0; Número de vezes em que aparece= 6
Chave= menores; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= merdas; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= pessoas; Valor= 0; Escore Total= -4.0; Número de vezes em que aparece= 7
Chave= agente; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= indica; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= quartafeira; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 7
Chave= concorrer; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 7
Chave= edu; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= aomesmo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= feia; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= galaxytab; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= vao; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= dessa; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 4
Chave= tela; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= screen; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= night; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= coco; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= conclusao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= calcei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= esses; Valor= 1; Escore Total= 3.0; Número de vezes em que aparece= 3
Chave= business; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= tomar; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 6
Chave= humano; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= imaginando; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pessoal; Valor= 0; Escore Total= -3.0; Número de vezes em que aparece= 8
Chave= desse; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= lovato; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= alguns; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= dois; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 4
Chave= ligam; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= oficiais; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= favorito; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= huhu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= relogio; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= diadoquimico; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pudesse; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= fujifilm; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= natal; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= cores; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= certeza; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= ligar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= customizada; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= rumoaopentanoei; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sair; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= conjunto; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= feio; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= ahh; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= feriado; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 4
Chave= eee; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= lembrar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= saiu; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= esculacho; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= mane; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= maridao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= frio; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= limelight; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= corinthians; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= acao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= arranhar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= profundamente; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= vander; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sucesso; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= batata; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= superstar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= rei; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= entrem; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= colocado; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= geral; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= entrada; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= arte; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= burra; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= motion; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= brigadeiro; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= fotos; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 7
Chave= fighting; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= entrei; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 2
Chave= mano; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= estou; Valor= 0; Escore Total= 3.0; Número de vezes em que aparece= 17
Chave= primeiro; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= balde; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= island; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= braco; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= seres; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= batendo; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= falsa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= patio; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= desta; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 6
Chave= grandes; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= realista; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sampa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= rsrsrs; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= editar; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= keveexd; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= olha; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= ultimo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= resultado; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= brasileiros; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= cute; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= pedido; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= burro; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= problemas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= lindissimo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= goleira; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= hahahaha; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= montando; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= primeira; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= foi; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 17
Chave= munique; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= real; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= futebol; Valor= -1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= vive; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= aie; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= soh; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= alem; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= botao; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= versus; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= aii; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= estranho; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= cabeca; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= julietapoint; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= sol; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= dinheiro; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= pecado; Valor= 1; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= sido; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 3
Chave= faltar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= notes; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= enfrentar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= mandar; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= ericssonhttp; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= botar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ultima; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 4
Chave= smam; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= vivo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= open; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= morreu; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= supera; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= original; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= faltam; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sonheei; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= alguma; Valor= -1; Escore Total= -2.0; Número de vezes em que aparece= 2
Chave= domingo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= morrer; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= sou; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 10
Chave= naum; Valor= 0; Escore Total= -3.0; Número de vezes em que aparece= 7
Chave= hausahssu; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= soulja; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= realizada; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= aplicada; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= lembra; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= autoridade; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= twittersrun; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 3
Chave= chorei; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= lenda; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= falta; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 4
Chave= maos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= manda; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= franca; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 3
Chave= medos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= selokoooo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= direto; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= participando; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= adesivo; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= enchendo; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= marcou; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= academia; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= explica; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ingressos; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= simples; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= familias; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= elton; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 2
Chave= vcs; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 7
Chave= graca; Valor= -1; Escore Total= -3.0; Número de vezes em que aparece= 3
Chave= pensa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= spa; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= criptografia; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= sentimos; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= amoo; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= meninos; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= choro; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= baixei; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= amor; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 6
Chave= gato; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= music; Valor= 0; Escore Total= 1.0; Número de vezes em que aparece= 2
Chave= lendo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= passarei; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= coadjuvantes; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= duvido; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= almocar; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= lancamento; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 6
Chave= espero; Valor= 1; Escore Total= 2.0; Número de vezes em que aparece= 2
Chave= propagandas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= digno; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= jogo; Valor= 0; Escore Total= 2.0; Número de vezes em que aparece= 8
Chave= empresas; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= assoalho; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= penso; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= irmao; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= awake; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= noitescariocas; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= haushuahsuhausa; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= loira; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= instalar; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= mae; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 5
Chave= consigoo; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= chegandoandroid; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= tempos; Valor= 1; Escore Total= 3.0; Número de vezes em que aparece= 3
Chave= rafa; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= coitados; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= paarabens; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= mai; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= ingles; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= esperando; Valor= 0; Escore Total= -2.0; Número de vezes em que aparece= 4
Chave= hospedado; Valor= 0; Escore Total= 0.0; Número de vezes em que aparece= 1
Chave= olimpiadas; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
Chave= duvida; Valor= 0; Escore Total= -1.0; Número de vezes em que aparece= 3
Chave= espera; Valor= -1; Escore Total= -1.0; Número de vezes em que aparece= 1
Chave= quarto; Valor= 1; Escore Total= 1.0; Número de vezes em que aparece= 1
